agency,facility,active,owner,facility_type,id,city,agency_type,public_remarks,source,state,latitude,zip_code,nprid,address,remarks,slug,name,reverse_geocoded,url,longitude,entry,owner_type,smooth-surface-throughout,transfer-stations-to-play-components,ramps-to-play-components,accessible-swing,sound-play-components,sight-impaired-play-components,safety-fence,single-entrance
,,,City of New York,,200,New York,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7894,10029,582,"Fdr Drive, E 106 To E 107 Sts",,east-river-playground-new-york-ny,East River Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9382,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,,Public school,201,West Point,,Facilities available for play during non-school hours. This school playground has Evos play structures and sensory wall panels.,,MS,33.6048197,39773,1253,813 East Broad Street,,east-side-elementary-school-west-point-ms,East Side Elementary School,,,-88.6417455,,,True,False,False,False,False,False,False,False
,,,City of New York,,202,Bronx,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.8844,10466,583,Schieffelin Ave & E 229 St,,edenwald-playground-bronx-ny,Edenwald Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8449,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,203,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6892,11205,584,"Dekalb Ave, Adelphi St & Carlton Ave",,edmonds-playground-brooklyn-ny,Edmonds Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9716,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,204,Flushing,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.774,11354,585,147 St Bet 26 & 27 Aves,,edward-hart-t-playground-flushing-ny,Edward Hart T Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8189,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,205,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6828,11233,586,"Reid Ave, Macon & Macdonough Sts",,el-hajj-malik-el-shabazz-playground-brooklyn-ny,El Hajj Malik El Shabazz Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9304,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,206,Fresh Meadows,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7359,11365,587,"W/s 164 St, S/o 65 Ave",,electric-playground-fresh-meadows-ny,Electric Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8054,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,207,Brooklyn,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.675,11238,588,"Classon Ave, Sterling Pl & Park Pl",,elijah-stroud-playground-brooklyn-ny,Elijah Stroud Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9619,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,208,Fresh Meadows,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7311,11365,589,164 St Bet Jewel & 71 Aves,,emerald-playground-fresh-meadows-ny,Emerald Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8059,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,209,New York,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.8696,10034,590,"SEAMAN AVE BET ISHAM, W 207 ST",,emerson-playground-new-york-ny,Emerson Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9221,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,210,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7085,11211,591,"Berry St, S. 9th St, S. 10th St",,epiphany-playground-brooklyn-ny,Epiphany Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9656,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,211,Woodhaven,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.6913,11421,592,"88 To 89 Aves, 90 St, Woodhaven Blvd",,equity-park-woodhaven-ny,Equity Park,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8533,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,212,New York,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.7218,10002,593,"Essex, Norfolk & Houston Sts",,essex-playground-new-york-ny,Essex Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.986,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,213,Brooklyn,,Level 3: Accessible Playgrounds with Universally Accessible Swings,,NY,40.7027,11206,594,Harrison Ave Bet Walton & Lorimer Sts,,eugenio-maria-de-hostos-playground-brooklyn-ny,Eugenio Maria De Hostos Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9493,,Municipal/Local Government,True,False,False,True,False,False,False,False
,,,City of New York,,214,Ridgewood,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6975,11385,595,"St. Felix & 75 Av, 60th St",,evergreen-park-ps-68-ridgewood-ny,Evergreen Park (ps 68),,http://www.nycgovparks.org/facilities/playgrounds/,-73.897,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,215,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6861,11207,596,"Evergreen Ave & Decatur, Schaefer Sts",,evergreen-playground-brooklyn-ny,Evergreen Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9107,,Municipal/Local Government,True,True,False,False,False,False,False,False
,Sawyer Point,,,,216,Cincinnati,,,,OH,39.1021157,45202,170,801 East Pete Rose Way,,every-childs-plaground-at-sawyer-point-cincinnati-oh,Every Child's Plaground,,,-84.4989457,,Municipal/Local,True,False,False,False,False,False,False,False
,Brahan Spring Park,,,,217,Huntsville,,"The playground includes swings, music station, elevated sandbox, ramped structures and splashpad. The  playground has pour-in-place surfacing and  engineered wood fiber.",,AL,34.7053459,35801,306,500 Drake Avenue SW,,everybody-can-play-playground-at-brahan-spring-park-huntsville-al,Everybody Can Play Playground,,,-86.5847259,,,True,False,False,False,False,False,False,False
,Leroy L. Wood School,,,,218,Fairhaven,,,,MA,41.6366982,2719,50,60 Sconticut Neck Road,,everybodys-playground-at-leroy-l-wood-school-fairhaven-ma,Everybody's Playground,,,-70.8803411,,,True,False,False,False,False,False,False,False
,,,,,219,Horsham,,"The  playsystem includes Poured-in-place safety surfacing,  an extensive ramping system, and  Sway Fun Glider.",,PA,40.176018,19044,353,455 Samantha Lane,,everybodys-playground-horsham-pa,Everybody's Playground,,,-75.1399239,,,True,False,True,False,False,False,False,False
,Riverdale Park,,"City of Germantown, Tenn.",,220,Germantown,,"The play space incorporates activities for moderate to vigorous physical activity including an inclusive Rock N Raft, interactive auditory panels, sensory-rich activities, cozy spaces, inclusive swing bays and access ramps leading to and through the playground's tree house.",,TN,35.104174,38138,366,7345 Neshoba Road,,everybodys-tree-house-at-riverdale-park-germantown-tn,Everybody's Tree House,,,-89.8178121,,Municipal/Local Government,True,False,False,False,False,False,False,False
,Los Angeles Orthopaedic Hospital,,City of Los Angeles,,221,Los Angeles,,"The park features colorful slides, tubes, bridges, adapted swings, interactive puzzles, a quiet area, a dragon mister, a Sway Fun  and lush landscaping for children ages two to 12.",,CA,34.0286246,90007,116,2400 South Flower Street,,everychild-foundation-universally-accessible-playg-at-los-angeles-orthopaedic-hospital-los-angeles-ca,Everychild Foundation Universally Accessible Playg,,,-118.2737906,,Municipal,True,False,False,False,False,False,False,False
,Fairmount Park,,,,222,Riverside,,"The carousel-themed playground includes a tot lot for smaller children, an older children's play area with a mini climbing wall and slide, and drums to beat and bells to ring.  The Century Wall that has sounds and a panel on the floor so you can play music with your feet. The area has a splash fountain and a carousel for children. The park also includes handicap accessible rental paddle boats.",,CA,33.9943575,92501,281,2601 Fairmount Boulevard,,fairmount-universal-playground-at-fairmount-park-riverside-ca,Fairmount Universal Playground,,,-117.3709362,,,True,False,False,False,False,False,False,False
,,,City of New York,,223,Fresh Meadows,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7358,11365,597,"73 Ave, 195 St & 196 Pl",,farm-playgroundps-26-fresh-meadows-ny,Farm Playground/ps 26,,http://www.nycgovparks.org/facilities/playgrounds/,-73.7774,,Municipal/Local Government,True,True,False,False,False,False,False,False
,West District School,,,,224,Farmington,,,,CT,41.7377948,6085,147,114 West District Road,,farmingtons-boundless-playground-at-west-district-school-farmington-ct,Farmington's Boundless Playground,,,-72.8795765,,Public School District,True,False,False,False,False,False,False,False
,,,City of New York,,225,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7001,11221,598,"Troutman St & Central Ave, Starr St & Wilson Ave",,fermi-playground-brooklyn-ny,Fermi Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9283,,Municipal/Local Government,True,True,False,False,False,False,False,False
,Airport Park,,,,226,Matamoras,,More than  50 pieces of play equipment at Firefly Field This playground includes an Excavating Pit sand area and a giant adaptive glider.,,PA,41.36453,18336,355,608 Avenue N,,firefly-field-at-airport-park-matamoras-pa,Firefly Field,,,-74.70087,,,True,False,False,False,False,False,False,False
,,,City of New York,,227,New York,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.7235,10003,599,"Houston St, E 1 St, 1 Ave",,first-park-new-york-ny,First Park,,,-73.9898,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,228,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6783,11233,600,Saratoga Ave Bet Herkimer & Fulton Sts,,fish-playground-brooklyn-ny,Fish Playground,,,-73.9148,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,229,Bronx,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.821,10451,601,"E 157 St, 3 Ave, E 158 St, Brook Ave",,flynn-playground-bronx-ny,Flynn Playground,,,-73.9119,,Municipal/Local Government,True,True,False,False,False,False,False,False
,Folsom City Park,,,,230,Folsom,,"This play structure has a Wild West theme. The playground includes play panels, ramps and poured-in-place safety surfacing.",,CA,38.6807214,95630,180,403 Stafford Street,,folsom-play-for-all-at-folsom-city-park-folsom-ca,Folsom Play for All,,,-121.1669114,,,True,False,True,False,False,False,False,False
,,,City of New York,,231,Bronx,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.8747,10468,602,RESERVOIR AVE. & SEDGWICK,,fort-4-playground-bronx-ny,Fort 4 Playground,,,-73.9009,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,232,Brooklyn,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.6902,11201,603,DEKALB AVE & CUMBERLAND ST,,fort-greene-park-brooklyn-ny,Fort Greene Park,,,-73.9737,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,233,Brooklyn,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.6924,11201,604,MYRTLE AVE & ST EDWARDS PLAZA,,fort-greene-playground-brooklyn-ny,Fort Greene Playground,,,-73.9771,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,234,Bronx,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.882,10463,605,"Sedgwick Ave, Stevenson Pl, Jerome Pk Reservoir",,fort-independence-playground-bronx-ny,Fort Independence Playground,,,-73.8941,,Municipal/Local Government,True,False,True,True,False,False,False,False
,Bob Meyer Park,,,,235,Medford,,"The fort has ramps that lead up to decks with play panels. This park includes swings, slides, an interactive musical wall, a sandbox, a sway boat and a roller slide that is designed for children with no lower body mobility.",,NJ,39.839399,8055,1270,100 Commonwealth Drive,,fort-medford-playground-at-bob-meyer-park-medford-nj,Fort Medford Playground,,,-74.8208135,,,True,False,True,False,False,True,False,False
,,,City of New York,,236,Fresh Meadows,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7425,11365,606,BOOTH MEMORIAL AVE & 160 ST,,four-winds-playground-fresh-meadows-ny,Four Winds Playground,,,-73.8083,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,237,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6323,11234,607,"Aves H & I, E 54 To E 55 Sts",,fox-playground-brooklyn-ny,Fox Playground,,,-73.9239,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,238,Bronx,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.815,10455,608,"S/e Corner Fox St, E 156 St",,fox-playground-bronx-ny,Fox Playground,,,-73.8985,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,239,Bayside,,Level 3: Accessible Playgrounds with Universally Accessible Swings,,NY,40.7605,11361,609,42 Ave At Francis Lewis Blvd,,francis-lewis-playground-bayside-ny,Francis Lewis Playground,,,-73.7841,,Municipal/Local Government,True,False,False,True,False,False,False,False
,Francis Wyman Elementary School,,,,240,Burlington,,This is a nature-based playground.,,MA,42.501806,1803,49,41 Terrace Hall Avenue,,francis-wyman-playground-at-francis-wyman-elementary-school-burlington-ma,Francis Wyman Playground,,,-71.215396,,,True,False,False,False,False,False,False,False
,,,City of New York,,241,South Ozone Park,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6835,11420,610,"111 Ave, 134 & 135 Sts, Lincoln St",,frederick-b-judge-playground-south-ozone-park-ny,Frederick B Judge Playground,,,-73.8082,,Municipal/Local Government,True,True,False,False,False,False,False,False
,Parkside Elementary School,,,,242,Columbus,,"This playground has a theme of ""No child left behind.""  The park includes many custom play events as well as The Rock and Spacenet Climbers. Custom safety surfacing makes the playground accessible for all.",,IN,39.2409031,47203,24,1400 Parkside Drive,,freedom-field-at-parkside-elementary-school-columbus-in,Freedom Field,,,-85.911761,,,True,False,False,False,False,False,False,False
,Park & Community Center at Haverford Reserve,,,,243,Haverford,,"The playground includes activities that promote social interaction, motor skills  and sensory integration, including  a music/stage area, a sand table, a rock wall, musical instruments, climbing nets, a texture wall, tree house with rocking deck and misters.",,PA,,19041,352,3500 Darby Road,,freedom-playground-at-park-community-center-at-haverford-reserve-haverford-pa,Freedom Playground,,http://www.freedomplay.org/,,,,True,False,True,False,True,True,False,False
,Macfarlane Park,,City of Tampa,,244,Tampa,,,,FL,27.9572404,33607,378,1700 North MacDill Avenue,,freedom-playground-at-macfarlane-park-tampa-fl,Freedom Playground,,http://www.tampagov.net/parks_search_webapp/ParkDetail.aspx?nbr=67,-82.4932167,,Municipal/Local Government,True,False,False,False,False,False,False,False
,,,City of New York,,245,Flushing,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7232,11367,611,Vleigh Pl & Main St,,freedom-square-flushing-ny,Freedom Square,,,-73.8203,,Municipal/Local Government,True,True,False,False,False,False,False,False
,Yukon Community Center,,,,246,Yukon,,"The playground includes a toddler play area, dinosaur dig and Oklahoma Native areas.",,OK,35.482252,73099,1276,2200 South Holly Avenue,,freedom-trail-playground-at-yukon-community-center-yukon-ok,Freedom Trail Playground,,,-97.749631,,,True,False,False,False,False,False,False,False
,,,City of New York,,247,Fresh Meadows,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7341,11365,612,67 Ave & 173 St,,fresh-meadows-playground-fresh-meadows-ny,Fresh Meadows Playground,,,-73.7962,,Municipal/Local Government,True,True,False,False,False,False,False,False
,Willard Elementary School,,,,248,Berlin,,,,CT,41.615637,6037,142,1088 Norton Road,,friendship-place-at-willard-elementary-school-berlin-ct,Friendship Place,,,-72.75808,,Public School District,True,False,False,False,False,False,False,False
,Bachmayer Playground,,,,249,Blissfield,,,,MI,41.8250963,49228,82,110 Veterans Avenue,,friendship-village-at-bachmayer-playground-blissfield-mi,Friendship Village,,,-83.8649077,,,True,False,False,False,False,False,False,False
,Metropolitan Hospital Health Village,,,,250,Wyoming,,"The park includes telescopes, musical instruments, art, poop-stations for dogs, crazy carnival-mirrors and more.",,MI,42.854694,49509,104,2050 Metro Court,,frog-hollow-boundless-playground-at-metropolitan-hospital-health-village-wyoming-mi,Frog Hollow Boundless Playground,,,-85.714833,,,True,False,False,False,False,False,False,False
,,,City of New York,,251,Brooklyn,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.7187,11211,613,"Frost St, Kingsland & Morgan Aves",,frost-playground-brooklyn-ny,Frost Playground,,,-73.939,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,252,New York,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.8584,10040,614,"FT GEORGE, ST NICHOLAS AVES",,ft-george-playground-new-york-ny,Ft George Playground,,,-73.9259,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,253,Brooklyn,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.6797,11233,615,Stuyvesant Ave & Marion St,,fulton-park-east-brooklyn-ny,Fulton Park East,,,-73.9311,,Municipal/Local Government,True,False,True,True,False,False,False,False
,North Park,,,,254,Jackson,,,,TN,35.7087009,38305,219,210 DeMonbren Drrive,,gabriels-garden-at-north-park-jackson-tn,Gabriel's Garden,,,-88.8294422,,,True,False,False,False,False,False,False,False
,,,City of New York,,255,Bronx,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.8486,10453,616,Macombs Road And W 176 Street,,galileo-park-park-bronx-ny,Galileo Park Park,,,-73.9156,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,256,Brooklyn,,Level 3: Accessible Playgrounds with Universally Accessible Swings,,NY,40.6698,11215,617,WEST DRIVE OPP GARFIELD PL,,garfield-tot-lot-brooklyn-ny,Garfield Tot Lot,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9719,,Municipal/Local Government,True,False,False,True,False,False,False,False
,,,City of New York,,257,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.609,11214,618,82 To 83 St At 18 Ave,,garibaldi-playground-brooklyn-ny,Garibaldi Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-74.0001,,Municipal/Local Government,True,True,False,False,False,False,False,False
,Addison Park,,,,258,Glastonbury,,,,CT,41.7291265,6033,148,419 Addison Road,,glastonbury-rotary-boundless-playground-at-addison-park-glastonbury-ct,Glastonbury Rotary Boundless Playground,,,-72.5791423,,Municipal/Local Government,True,False,False,False,False,False,False,False
,,,City of New York,,259,Ridgewood,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.7049,11385,619,"Central Ave, 70th And 71st Street",,glendale-playground-ridgewood-ny,Glendale Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8818,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,260,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6367,11234,620,Ralph Ave & Farragut Rd,,glenwood-playground-brooklyn-ny,Glenwood Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9199,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,261,Bronx,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.8438,10452,621,S/e Corner Macombs Pl & Gobel Rd,,goble-playground-bronx-ny,Goble Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.917,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,262,East Elmhurst,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.7624,11370,622,"30 Ave, 85 St, 25 Ave, 84 St",,gorman-playground-east-elmhurst-ny,Gorman Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8842,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,263,Bronx,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.8358,10456,623,"3 Ave, St Pauls Pl, Washington Ave",,gouverneur-playground-bronx-ny,Gouverneur Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9034,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,264,Brooklyn,,Level 3: Accessible Playgrounds with Universally Accessible Swings,,NY,40.6846,11217,624,"Hoyt, Wyckoff, Bond Sts",,gowanus-playground-brooklyn-ny,Gowanus Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9879,,Municipal/Local Government,True,False,False,True,False,False,False,False
,,,City of New York,,265,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6714,11207,625,"Belmont & Pitkins Aves, Vermont & New Jersey Sts",,grace-playground-brooklyn-ny,Grace Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8944,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,266,Far Rockaway,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.5993,11691,626,"Grassmere Terr, Brookhaven Ave, Briar Pl",,grassmere-playground-far-rockaway-ny,Grassmere Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.7589,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,267,Brooklyn,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.6238,11204,627,18 AVE & 56 ST,,gravesend-park-brooklyn-ny,Gravesend Park,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9849,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,268,Staten Island,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.5471,10308,628,"Hillcrest Ave, N/o Highmount Rd",,great-kills-veterans-playground-staten-island-ny,Great Kills Veterans Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-74.1519,,Municipal/Local Government,True,True,False,False,False,False,False,False
,Garrett Heights Elementary School,,,,269,Baltimore,,,,MD,39.3494958,21214,59,2800 Ailsa Avenue,,great-oaks-and-little-acorns-playground-at-garrett-heights-elementary-school-baltimore-md,Great Oaks and Little Acorns Playground,,,-76.5696312,,,True,False,False,False,False,False,False,False
,,,City of New York,,270,Staten Island,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.5518,10308,629,"Redgrave, Greencroft Sts, Ainsworth & Durant Aves",,greencroft-playground-staten-island-ny,Greencroft Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-74.1364,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,271,Brooklyn,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.6862,11238,630,Greene Ave Bet Waverly & Washington Aves,,greene-playground-brooklyn-ny,Greene Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9659,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,272,Ridgewood,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7014,11385,631,"MYRTLE AVE, WOODHAVEN BLVD",,greenhouse-playground-ridgewood-ny,Greenhouse Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8561,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,273,Brooklyn,,Level 3: Accessible Playgrounds with Universally Accessible Swings,,NY,40.7357,11222,632,"Commercial, Franklin, Dupont Sts",,greenpoint-park-brooklyn-ny,Greenpoint Park,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9592,,Municipal/Local Government,True,False,False,True,False,False,False,False
,,,City of New York,,274,Brooklyn,,Level 3: Accessible Playgrounds with Universally Accessible Swings,,NY,40.6502,11218,633,"Ft Hamilton Pkwy, Prospect Ave, Greenwood Ave",,greenwood-playground-brooklyn-ny,Greenwood Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9764,,Municipal/Local Government,True,False,False,True,False,False,False,False
,,,City of New York,,275,Ridgewood,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.7108,11385,634,"Rene Ct, Grandview Av, Stanhope St, Fairview Av",,grover-cleveland-park-ridgewood-ny,Grover Cleveland Park,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9112,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,276,Bronx,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.8747,10467,635,"Holland Ave, Magenta St, Cruger Ave",,gun-hill-playground-bronx-ny,Gun Hill Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8655,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,277,Bellerose,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7316,11426,636,"S/s Hillside Ave, E/o 235 Ct",,gunn-park-ps-18-bellerose-ny,Gunn Park (ps 18),,http://www.nycgovparks.org/facilities/playgrounds/,-73.7318,,Municipal/Local Government,True,True,False,False,False,False,False,False
,Dulles Town Center,,,,278,Dulles,,,,VA,39.031886,20166,192,21100 Dulles Town Circle,,hadleys-main-street-usa-playground-at-dulles-town-center-dulles-va,Hadley's Main Street USA Playground,,,-77.4235725,,,True,False,False,False,False,False,False,False
,Falls Road Park,,,,279,Potomac,,"This playground was the inspiration for an initiative to build more fully accessible playgrounds in the state of Maryland.   The one-acre playground is built around ""theme play"" and has seven different types of play.",,MD,39.0628928,20854,69,12600 Falls Road,,hadleys-playground-at-falls-road-park-potomac-md,Hadley's Playground,,,-77.1764903,,,True,False,False,False,False,False,False,False
,,,City of New York,,280,Bronx,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.8737,10469,637,ELY & BURKE AVES,,haffen-park-bronx-ny,Haffen Park,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8383,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,281,Hollis,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.713,11423,638,S/s Jamaica Ave Bet 202 & 204 Sts,,haggerty-park-hollis-ny,Haggerty Park,,http://www.nycgovparks.org/facilities/playgrounds/,-73.7577,,Municipal/Local Government,True,False,True,True,False,False,False,False
,Carroll Springs School,,,,282,Westminster,,"On the property of Carroll Springs School, the playground will also benefit the children with severe disabilities who attend the school every day.",,MD,39.560371,21157,72,495 South Center Street,,haileys-wish-boundless-playground-at-carroll-springs-school-westminster-md,Hailey's Wish Boundless Playground,,,-76.991822,,,True,False,False,False,False,False,False,False
,,,City of New York,,283,Astoria,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7722,11102,639,"HALLETS COVE, VERNON BLVD",,hallets-cove-playground-area-a-astoria-ny,Hallets Cove Playground (area A),,http://www.nycgovparks.org/facilities/playgrounds/,-73.934,,Municipal/Local Government,True,True,False,False,False,False,False,False
