agency,facility,active,owner,facility_type,id,city,agency_type,public_remarks,source,state,latitude,zip_code,nprid,address,remarks,slug,name,reverse_geocoded,url,longitude,entry,owner_type,smooth-surface-throughout,transfer-stations-to-play-components,ramps-to-play-components,accessible-swing,sound-play-components,sight-impaired-play-components,safety-fence,single-entrance
,Ross Memorial Park,,,,21,Peabody,,"The accessible park features a zip line, seesaw for up to four, swings accommodating every child, a wide rollerslide, and special panels, including an interactive Braille clock and wind chimes.",,MA,42.5444631,1960,55,36 Johnson Street,,adventures-for-angels-playground-at-ross-memorial-park-peabody-ma,Adventures for Angels Playground,,,-70.994726,,,True,False,False,False,False,True,False,False
,Westwood Park,,City of Los Angeles,,22,Los Angeles,,"This playground features the  Airplane where young pilots and co-pilots will enjoy a fully-accessible cockpit loaded with features. They can communicate with the Control Tower via a talk tube radio and plan their route on the navigation panels. There are also accessible slides, sand and water play.",,CA,34.0529537,90024,106,1350 South Sepulveda Boulevard,,aidans-place-at-westwood-park-los-angeles-ca,Aidan's Place,,,-118.4487175,,Municipal,True,False,False,False,False,False,False,False
,,,City of New York,,23,Flushing,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7227,11367,460,PARK DR EAST & 73 TERRACE,,albert-h-mauro-playground-flushing-ny,Albert H. Mauro Playground,,,-73.827,,Municipal/Local Government,True,True,False,False,False,False,False,False
,Pah Rah Mountain Park,,,,24,Sparks,,"Play equipment includes an integrated carousel with wheelchair access from the ground level, a play system that allows children to climb up, over and around an entire structure without ever touching the ground, a swing set with accessible seats, and a rot",,NV,39.5634996,89434,1275,1750 Shadow Lane,,all-abilities-playground-at-pah-rah-mountain-park-sparks-nv,All Abilities Playground,,,-119.7109653,,,True,False,False,False,False,False,False,False
,The Graded School,,,,25,West Dennis,,,,MA,,2670,77,75 School Street,,all-access-playground-at-the-graded-school-west-dennis-ma,All Access Playground,,,,,,True,False,False,False,False,False,False,False
,Picnic Park,,Peachtree City,,26,Peachtree City,,"This 5-acre park has an accessible playground, fishing, horseshoes and a covered picnic shelter.",,GA,33.400353,30269,3,Willowbend Road,,all-childrens-playground-at-picnic-park-peachtree-city-ga,All Children's Playground,,http://www.peachtree-city.org/index.aspx?NID=311,-84.5814748,,Municipal/Local Government,True,False,False,False,False,False,False,False
,Beech Acres Park,,,,27,Cincinnati,,"There is a Tot-lot complete with a train and train station. There are swings, a sand play area,  a playhouse,  a mini-mountain, and an arched bridge with walking paths and shaded pergolas. For children ages 2-5 there are slides, rock climbing and bongo drum.s For older children there are  climbing boulders and a fort. Also, for all, a riverboat shelter,  seasonal water play area, and Sway Fun glider",,OH,39.0730859,45320,169,6910 Salem Road,,all-childrens-playground-at-beech-acres-park-cincinnati-oh,All Children's Playground,,,-84.367222,,Municipal/Local Government,True,False,False,False,False,False,False,False
,Edgemont Memorial Park,,,,28,Montclair,,,,NJ,40.8301923,7042,1269,20 Edgemont Road,,all-childrens-playground-at-edgemont-memorial-park-montclair-nj,All Children's Playground,,,-74.2143847,,,True,False,False,False,False,False,False,False
,,,City of New York,,29,Bellerose,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7395,11426,461,"WINCHESTER BLVD, UNION TPKE",,alley-athletic-playground-bellerose-ny,Alley Athletic Playground,,,-73.7343,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,30,Oakland Gardens,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.7472,11364,462,67 Ave & 230 St,,alley-park-oakland-gardens-ny,Alley Park,,,-73.7451,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,31,Oakland Gardens,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.7415,11364,463,NR SPRINGFIELD LOT/BALLFIELDS,,alley-pond-park-near-ballfield-oakland-gardens-ny,Alley Pond Park: Near Ballfield,,,-73.7488,,Municipal/Local Government,True,False,True,True,False,False,False,False
City of Lubbock,Maxey Park,,City of Lubbock,,32,Lubbock,Municipal/Local Government,"The 20,000 square foot playground offers numerous bridges, slides and lookouts. Other amenities include a wheelchair accessible sandbox and swing area.",,TX,33.5705462,79410,212,26th Street and Nashville Avenue,,ambucs-hub-city-playground-at-maxey-park-lubbock-tx,AMBUCS HUB City Playground,,,-101.8986214,,Municipal/Local Government,True,False,False,False,False,False,False,False
,Spring Hill Park,,,,33,Longview,,"This playground includes see-saws with supporting backs, swings, a ramped structure with overhead activities, a pretend play fire truck, climbing structures and a splash pad. The playground has lights so that you can play at any time.",,TX,32.56421,75604,201,738 Fenton Road,,ambucs-too-universally-accessible-playground-at-spring-hill-park-longview-tx,AMBUCS Too Universally Accessible Playground,,,-94.808575,,,True,False,False,False,False,False,False,False
,Rockport Elementary School,,,,34,Rockport,,"Open to the public during non-school hours.  It includes accessible swings, climbing structure that enables a wheelchair to go to the top, and many ground-level activities.",,MA,,1966,57,34 Jerden's Lane,,amelia-grace-place-at-rockport-elementary-school-rockport-ma,Amelia Grace Place,,,,,,True,False,False,True,False,False,False,False
,,,City of New York,,35,Ozone Park,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6815,11416,464,101 Ave Bet 82 & 83 Sts,,ampere-playground-ozone-park-ny,Ampere Playground,,,-73.857,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,36,Long Island City,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.7434,11101,465,"49 Ave, Vernon Blvd, 5 St",,andrews-playground-long-island-city-ny,Andrews Playground,,,-73.9548,,Municipal/Local Government,True,False,True,True,False,False,False,False
,TeWinkle Park,,,,37,Costa Mesa,,"The motor skills challenges set this park apart from others Ð there are pedestals to navigate, balance beams, platforms, standing pedal pushers, and tunnels.  Kids of all ages and abilities drawn to the moving sled/car/boat  The park has a dedicated parking lot.  There is a recycled rubber play surface and sand play area.",,CA,33.6724023,92626,308,885 Junipero Drive,,angels-place-at-tewinkle-park-costa-mesa-ca,Angel's Place,,,-117.8942368,,,True,False,False,False,False,False,False,False
,,,City of New York,,38,Bronx,,Level 3: Accessible Playgrounds with Universally Accessible Swings,,NY,40.8681,10469,466,GUN HILL/EASTCHEST RDS/O'NEIL,,angelo-campanero-playground-bronx-ny,Angelo Campanero Playground,,,-73.8429,,Municipal/Local Government,True,False,False,True,False,False,False,False
,,,City of New York,,39,New York,,Level 3: Accessible Playgrounds with Universally Accessible Swings,,NY,40.8652,10040,467,BROADWAY & DYCKMAN ST,,anne-loftus-playground-new-york-ny,Anne Loftus Playground,,,-73.9288,,Municipal/Local Government,True,False,False,True,False,False,False,False
,Edgeley Grove Park,,,,40,Fallston,,"the playground  features include a treehouse, amphitheater/outdoor classroom, puppet theatre, dragon and elephant slides, baseball area and Memorial Garden.",,MD,39.5130413,21047,62,864 Smith Lane,,annies-playground-at-edgeley-grove-park-fallston-md,Annie's Playground,,,-76.381234,,,True,False,False,False,False,False,False,False
,Lake Balboa Park,,City of Los Angeles,,41,Van Nuys,,,,CA,34.1862273,91406,115,6300 Balboa Boulevard,,anthony-c-beilenson-park-at-lake-balboa-park-van-nuys-ca,Anthony C. Beilenson Park,,,-118.5011266,,Municipal,True,False,False,False,False,False,False,False
,Bailey Park,,,,42,Battle Creek,,,,MI,42.3424371,49017,80,1400 North Capital Avenue,,anybodies-playground-at-bailey-park-battle-creek-mi,ANYBodies Playground,,,-85.1543086,,,True,False,False,False,False,False,False,False
,Memorial Park,,,,43,Jasper,,"It is located in the center park surrounded by Woods Walking Trail, the Natatorium, the pond and a pavilion.  It now includes a splash pad and sunshades.",,AL,33.843033,35501,267,1020 Kiker Lane,,apex-playground-at-memorial-park-jasper-al,APEX Playground,,,-87.2878636,,,True,False,False,False,False,False,False,False
,,,City of New York,,44,Bronx,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.8271,10456,468,"Park, Clay, Teller Aves, E 164 St",,arcilla-playground-bronx-ny,Arcilla Playground,,,-73.9143,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,45,New York,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.8205,10031,469,W 140 ST & ST NICHOLAS AVE,,arlington-edinboro-playground-new-york-ny,Arlington Edinboro Playground,,,-73.9468,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,46,Staten Island,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.5978,10305,470,"Sand Lane, Major & Mcfarland Aves",,arrochar-playground-staten-island-ny,Arrochar Playground,,,-74.0706,,Municipal/Local Government,True,False,True,True,False,False,False,False
,Caswell Park,,,,47,Knoxville,,,,TN,35.980863,37902,220,620 Winona Street,,ashley-nicole-dream-playground-at-caswell-park-knoxville-tn,Ashley Nicole Dream Playground,,,-83.909896,,,True,False,False,False,False,False,False,False
,,,City of New York,,48,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.5752,11224,471,SURF AVE & 5 ST,,asser-levy-playground-brooklyn-ny,Asser Levy Playground,,,-73.9722,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,49,New York,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.7363,10010,472,"E 23 To E 25 Sts, Fdr Drive",,asser-levy-playground-new-york-ny,Asser Levy Playground,,,-73.9756,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,50,Astoria,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7679,11106,473,"14 St, 31 Ave",,astoria-health-center-playground-astoria-ny,Astoria Health Center Playground,,,-73.9326,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,51,New York,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.7356,10003,474,"2 Ave, E 19 To E 20 Sts",,augustus-saint-gaudens-new-york-ny,Augustus Saint Gaudens,,,-73.9822,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,52,Bronx,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.8816,10463,475,"W 234 St, Bailey Ave, W 238 St",,bailey-playground-bronx-ny,Bailey Playground,,,-73.9004,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,53,Jamaica,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6692,11434,476,150 ST & 130 AVE,,baisley-park-south-jamaica-ny,Baisley Park South,,,-73.7882,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,54,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7009,11206,477,Bartlett St & Throop Ave,,bartlett-playground-brooklyn-ny,Bartlett Playground,,,-73.946,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,55,New York,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7173,10002,478,"Rivington, Mangin Sts & Baruch Pl",,baruch-playground-new-york-ny,Baruch Playground,,,-73.9768,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,56,Brooklyn,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.6025,11214,479,Shore Pkwy & 17 Ave,,bath-beach-playground-brooklyn-ny,Bath Beach Playground,,,-74.0111,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,57,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.5946,11214,480,Bath Ave Bet 24 Ave & Bay 37 St,,bath-playground-brooklyn-ny,Bath Playground,,,-73.9936,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,58,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6068,11228,481,CROPSEY & BAY 8,,bay-8-playground-brooklyn-ny,Bay 8 Playground,,,-74.0163,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,59,Bayside,,Level 3: Accessible Playgrounds with Universally Accessible Swings,,NY,40.7823,11360,482,Ne Corner 212 St & 23 Ave,,bay-terrace-playground-bayside-ny,Bay Terrace Playground,,,-73.7776,,Municipal/Local Government,True,False,False,True,False,False,False,False
,,,City of New York,,60,Brooklyn,,Level 3: Accessible Playgrounds with Universally Accessible Swings,,NY,40.6349,11236,483,S/s Seaview Ave Opp E 99 St,,bay-view-brooklyn-ny,Bay View,,,-73.8869,,Municipal/Local Government,True,False,False,True,False,False,False,False
,,,City of New York,,61,Far Rockaway,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.599,11691,484,BEACH 32 ST & DICKENS AVE,,bayswater-playground-far-rockaway-ny,Bayswater Playground,,,-73.767,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,62,Arverne,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.5891,11692,485,Boardwalk & Beach 59-60 Sts,,beach-59th-street-playground-arverne-ny,Beach 59th Street Playground,,,-73.7889,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,63,Far Rockaway,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.5959,11691,486,B 9 ST N OF BOARDWALK,,beach-9th-street-playground-far-rockaway-ny,Beach 9th Street Playground,,,-73.7453,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,64,Bronx,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.8538,10453,487,"Billingsley Terr, Phelan Pl, Sedgwick Ave",,beanstalk-playground-bronx-ny,Beanstalk Playground,,,-73.9168,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,65,Brooklyn,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.7083,11211,488,"Bedford Ave & S 9 St, Division Ave",,bedford-playground-brooklyn-ny,Bedford Playground,,,-73.9639,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,66,Queens Village,,Level 3: Accessible Playgrounds with Universally Accessible Swings,,NY,40.7216,11427,489,"89 Ave, 207 & 208 Sts",,bellaire-playground-queens-village-ny,Bellaire Playground,,,-73.758,,Municipal/Local Government,True,False,False,True,False,False,False,False
,,,City of New York,,67,New York,,Level 3: Accessible Playgrounds with Universally Accessible Swings,,NY,40.74,10016,490,"E 26 To E 28 Sts, 2 Ave",,bellevue-south-park-new-york-ny,Bellevue South Park,,,-73.978,,Municipal/Local Government,True,False,False,True,False,False,False,False
,,,City of New York,,68,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6757,11208,491,"Pitkin Ave, Drew St, Belmont, N Conduit Aves",,belmont-playground-brooklyn-ny,Belmont Playground,,,-73.8629,,Municipal/Local Government,True,True,False,False,False,False,False,False
